SB_DEPTH_pxl,SB_DEPTH_cm,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
18850,191.1734991257043,143.9237829055337,5.770984789444519,136.33591707232225,4.906149932482699,100.3664458815089,4.813570815932804,135.35210152848626,4.9084623461526835
18860,191.27491742762774,144.3718541141883,5.52615598404533,136.3317787152314,4.719597932027685,100.31941909638563,4.768756546522374,135.44100638056895,4.7069427704705475
18870,191.37633572955122,145.41058174399134,5.528001085383395,137.61579805623742,4.647017619936468,101.97250464703916,4.655597057306398,136.6995232841098,4.653211980083568
18880,191.47775403147466,145.75218431112683,5.603546291412251,137.94047098072855,4.778595124092436,102.49168035480015,4.910824610999664,137.0418385515792,4.77185662522559
18890,191.5791723333981,144.34627154308123,5.51798963029109,136.54020142689777,4.701248242754258,100.61211380699292,4.6943178886820185,135.60576400744122,4.681249976255777
18900,191.68059063532155,143.4809786968129,5.134346458898152,135.68769986618295,4.377562993264632,100.15463724131365,4.569524749905618,134.7790638240593,4.3399534780456
18910,191.782008937245,142.43246949570425,4.9423604239270125,134.5816298800834,4.253417092174244,99.42101939339048,4.465905108709768,133.7121223052252,4.194746420476885
18920,191.88342723916847,142.98776177443992,5.136205213968772,135.23699515756144,4.381629724200803,99.58805853414837,4.699750967870532,134.31095491609938,4.349058300546048
18930,191.98484554109191,143.2947526277247,5.238644878210395,134.9977228748542,4.441016892559631,99.63922367636249,4.6122948344614745,134.20878775818335,4.420337694044926
18940,192.08626384301536,142.2123841413273,5.335207283695732,133.73100939077352,4.5157447890685765,98.56889404695664,4.704346908976845,132.99544493491769,4.499225909784278
18950,192.1876821449388,141.67740743376487,5.221748484942568,132.980085685925,4.3898111075534905,97.5617684167565,4.636288925423004,132.2719337826818,4.377435942830003
18960,192.28910044686225,143.0867061303393,5.628868841961056,134.65386302203277,4.840889488513449,99.41462375061371,5.184042823897195,133.90241239146226,4.836095569626885
18970,192.3905187487857,144.40684204232002,5.754090843912703,136.66171863965633,4.933801678219342,100.78517237624658,5.142511258130603,135.71804523484445,4.925743847410922
18980,192.49193705070917,142.52577063738883,5.642088393494026,134.25056131281553,4.847029127207716,98.42292290593399,5.123338770762675,133.42311532224298,4.839451628039521
18990,192.5933553526326,141.76544157551564,5.8429751291615135,133.3924165378859,5.05005257398376,98.16634476630136,5.276215977383791,132.62919927897758,5.0374186398204825
19000,192.69477365455606,140.49120380581527,5.906564632677781,132.32697769413286,5.147005774234181,96.82213114033755,5.424684761347888,131.4992422442925,5.131703157550841
19010,192.7961919564795,140.1834605239685,6.227797504736325,131.49027713321948,5.428789622005996,96.14268814887639,5.452372661511683,130.78635199742314,5.417811562761388
19020,192.89761025840295,140.62701716125127,5.530941963174085,132.39356762186745,4.937942486501843,97.30819999137177,5.272324720652172,131.61083545101866,4.884340893005804
19030,192.99902856032642,140.13568131028325,5.901660373149238,131.94474398465087,5.211797812655438,97.02227713782221,5.4139343143410965,131.1647351537393,5.1827747293290685
19040,193.10044686224987,141.96934971581018,5.75785109567797,134.39126545390437,4.960691887227023,99.00492639861969,5.315159749245548,133.447472488194,4.941668634517033
19050,193.2018651641733,142.6992054209235,5.747796763978351,135.1564853014304,4.9206645242284095,100.01430931450577,5.1202643056779795,134.22280249257867,4.908702757248203
19060,193.30328346609676,143.44185241159033,5.687615567177515,136.50220378451814,4.794874092194705,101.27575579865264,4.864402084532076,135.4342235380542,4.789643224622363
19070,193.4047017680202,142.7180161349728,5.511356969023146,135.21555094354522,4.638396615210907,99.65502467616392,4.804467416894406,134.24310504673778,4.640123712502981
19080,193.50612006994368,142.2533914979548,5.128891014634645,134.82880266269134,4.594389234707917,99.64486689057729,4.86321274879066,133.86699008632172,4.512522706127705
19090,193.60753837186712,143.3745100552938,5.2630576512137885,136.04660829024382,4.420387313347101,100.99585237359888,4.640912802456,135.0738556283117,4.396000663287861
19100,193.70895667379057,146.1679010916166,5.984291005624644,139.17407760808243,5.022073320850662,104.2489772612869,5.072395883603724,138.13937223564318,5.040985659550981
19110,193.810374975714,145.774757167986,5.668472513825925,139.09018182342248,4.595458192607131,104.41714504488773,4.645547507022181,138.00792928626646,4.6276248686651895
19120,193.91179327763746,142.12434999957654,5.7246637455836655,134.56319538031508,4.828576067537924,99.6471241762632,4.883411004615524,133.64975651143752,4.858116280292908
19130,194.01321157956093,141.10480929810382,6.051415619505902,133.66441946303894,5.192637310654384,98.7423288304913,5.113349708361438,132.7248713983038,5.201734793160931
19140,194.11462988148438,141.05364415588969,6.19251147435352,134.0790076006858,5.208408202128554,98.97558168470277,5.183782831099313,133.02734798118814,5.241592295605311
19150,194.21604818340782,141.2549187962173,5.970141385260486,134.31827988339302,5.241584966400907,99.56887160581807,5.227941851245096,133.28410203861856,5.224388797348218
19160,194.31746648533127,141.7940338608706,5.997687524371372,135.09516237362962,5.270896390558251,100.21596016911441,5.202174929776968,134.00106405265106,5.232792984633357
19170,194.4188847872547,142.19206857015402,5.548992611276393,135.46272372615317,5.0205791538427125,100.45184652329277,5.0896638435165835,134.36559710594122,4.946044652168906
19180,194.52030308917816,142.33691106833376,5.348586355290527,135.58574579603567,4.979072102309827,100.70917709148736,5.113642611681032,134.50295527245785,4.869835512350554
19190,194.62172139110163,141.32790436672866,5.280859914824479,134.53460309496015,4.62237946949404,99.62455131940403,4.723698279949725,133.45835320714295,4.5719812147213155
19200,194.72313969302508,141.12023408362424,6.022719531905832,134.4951005954566,5.440294050876295,99.76977003186472,5.407189155189598,133.3964351083497,5.3821204654397
19210,194.82455799494852,139.69814410149624,5.818218710223946,132.76037654582902,5.291811693550707,97.2826174202647,5.263599950604148,131.67385171929814,5.226645328650166
19220,194.92597629687197,139.6586416019927,5.732308990276083,132.6817477611029,5.309421904501468,97.76530034277003,5.300686913976339,131.64406788807239,5.22527255142916
19230,195.0273945987954,138.81629782686454,5.933679047606131,131.59524091761463,5.213923881300915,97.05387913742506,4.994774769696828,130.63655129599147,5.186570370453224
19240,195.12881290071888,138.6635548287841,6.175021373242363,131.48463391900466,5.363632962834052,97.16373370747304,5.190806145484534,130.5329035091512,5.364793278580495
19250,195.23023120264233,137.54469355713104,6.782057493121095,130.27247150566703,5.877353200208407,95.71380386855208,5.554747270578564,129.3234101104086,5.898471789159699
19260,195.33164950456577,136.98526292130447,7.007229909172382,129.56895080022275,6.186961761640361,94.60096202539478,5.80891719686208,128.62096996762213,6.205318102463182
19270,195.43306780648922,136.59287142623586,7.408705193216963,129.41733644498532,6.607398880043493,94.4226364562073,6.135968184402523,128.41623784280938,6.619019739427861
19280,195.53448610841266,137.080821348675,7.818636297974219,129.62876887089956,7.022427725509178,95.10960373328818,6.53561244567026,128.72079150473908,7.036153408783058
19290,195.63590441033614,137.2941348459942,7.63291793221963,129.5241813007854,6.866734044653252,94.79019780873085,6.323404892935451,128.66827981637044,6.860824795966782
19300,195.73732271225958,136.70498328196976,7.488025373888632,129.3356979460113,6.707239300934476,93.85530532048006,6.236015622174146,128.3407236608727,6.713930043141048
19310,195.83874101418303,137.59924462787404,7.916304670741267,130.47750828880453,7.077551867701148,95.57723808455408,6.513240360987763,129.47178992574382,7.09641449069743
19320,195.94015931610647,137.56350427118034,8.295480446604644,130.27999579128675,7.551107828656667,95.96398636540792,7.0069505949449935,129.3508538135637,7.560782116604235
19330,196.04157761802992,136.22041928805945,7.290940339901294,129.05165616386668,6.536733958178197,94.87860816476262,6.099559823462673,128.10844113853474,6.545069634105246
19340,196.1429959199534,134.13243002858584,6.4849764101344265,126.40310762572356,5.653249794587181,91.63639349122322,5.30853793430922,125.53620480806116,5.682415872128106
19350,196.24441422187684,132.93832590073552,6.847200408926264,125.5652784219672,6.0884231127608075,90.94829757129939,5.7038986105995955,124.63344229853513,6.106910700186876
19360,196.34583252380028,132.32735390841387,5.867548871547641,124.87567764491943,4.936969398325251,90.28728907960655,4.75657388884058,123.96262236412277,4.976011181943267
19370,196.44725082572373,133.0809111132293,6.120456946993419,126.11041291511626,5.206616248582183,91.82224334603042,4.855587457764508,125.11673498914709,5.23801900952363
19380,196.54866912764717,133.08805918456804,6.1480483537460895,126.05510941581129,5.192479777524415,91.41066492263147,4.824663200680437,125.0489856442414,5.2268638489137285
19390,196.65008742957062,133.7806696758637,6.264179406753929,126.63109348000123,5.448219345804645,91.55362634940624,4.928768507446866,125.61850025241263,5.441460020002344
19400,196.7515057314941,133.47104532261204,5.740135622091171,126.2597699846678,4.902867585403465,91.5272913497372,4.717218566061997,125.28520216407276,4.911441729006063
19410,196.85292403341754,131.35672106346937,5.998347385738842,123.79330915852202,5.117059702602658,89.11237188008653,4.7249890751196455,122.89732685801077,5.131893847661561
19420,196.95434233534098,131.0241476390775,5.9739671910716075,123.62100301783032,5.0891159782421935,89.0013886671956,4.642830856277235,122.69537540819162,5.094068596607519
19430,197.05576063726443,131.94812991317974,5.988031142203588,124.7940391459454,5.130013255343498,90.4283694349764,4.808523698600227,123.83379748992748,5.135575460676257
19440,197.15717893918787,132.93682104361156,6.268813871858057,125.65745092080883,5.483520675624375,90.91180478604372,4.920145522238138,124.69640935798662,5.4644036140737855
19450,197.25859724111135,131.92555705632057,6.019855293941873,124.9941851434301,5.180592383116046,90.42385486360456,4.825250650484387,123.9718169659072,5.1909050427506624
19460,197.3600155430348,132.3149388371413,6.036262416429557,124.98967057205824,5.228755492466634,90.6089522898498,4.7783999999999995,124.06473474523946,5.217573523454759
19470,197.46143384495824,135.50937429699547,6.75015003092524,128.09419081875672,5.8681093241349895,93.48962503936144,5.330696010841361,127.1722091769579,5.8952201917865725
19480,197.56285214688168,135.97776107682336,7.058186823823807,128.84097616651437,6.554384520303947,94.44633795590943,5.788298762158014,127.87496375964038,6.478565360477314
19490,197.66427044880513,133.93604617391102,6.310435484180153,126.62883619431531,5.603843077745843,92.6706065496544,5.236857928185564,125.7305648556328,5.580214539554487
19500,197.7656887507286,135.5876268674406,6.2200321542577255,128.45949488559432,5.406195671634537,94.04980810374994,5.033328520969001,127.49055635928566,5.408600203907798
19510,197.86710705265205,137.2121201327392,6.212826976505944,130.1667552927099,5.33045183450709,96.67879349928178,4.890429494430934,129.2467690162146,5.339347099960493
19520,197.9685253545755,136.7580294955888,5.812083547231578,129.7021306556919,4.911050657445919,95.90943529466493,4.598654198784684,128.76238214398782,4.930466779701338
19530,198.06994365649894,136.07783407556568,6.152576016596626,129.13668059136955,5.342856879984715,95.60282065566113,4.926102215748268,128.19122513475148,5.334813199546807
19540,198.17136195842238,135.46723829752503,5.5287741860198985,128.78379159580447,4.628026685316324,94.51669002645387,4.275650308432624,127.73060763128315,4.62427176126704
19550,198.27278026034585,136.74260471006838,5.294597623993726,129.88873293906104,4.549006467350866,95.71907086848587,4.296960185991953,128.87881647608168,4.515239037103168
19560,198.3741985622693,137.97583512314125,5.932805393740805,131.31684234968483,5.441006142249796,96.74801692698325,5.017990657623827,130.2366750178026,5.343942749648948
19570,198.47561686419274,139.98256209792186,6.406294641990797,133.40295053775353,6.216524273257525,98.70997440232648,5.89044945993088,132.29694307846748,6.071752564633632
