SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
75.550385,7497.386,154.50908,4.8878536,148.6573,4.691752,111.519424,4.9514465,147.22003,4.5610495
76.050385,7547.005,152.9736,4.9017997,146.80725,4.526661,110.40585,4.640084,145.49004,4.4170675
76.550385,7596.623,152.4232,5.6847944,146.36537,5.0937734,110.06842,5.33128,145.03261,5.0655932
77.050385,7646.2417,151.68506,4.3561797,145.6063,4.0026717,108.77858,4.3252206,144.23967,3.8797145
77.550385,7695.86,151.07266,4.1514187,144.98914,3.9775996,108.11564,4.225316,143.62024,3.8005624
78.050385,7745.4785,152.894,4.3886743,146.84192,4.242379,109.80089,4.504561,145.45422,4.079168
78.550385,7795.0967,156.73958,4.3559346,150.63387,4.2326574,112.89099,4.418953,149.20691,4.036443
79.050385,7844.7153,154.5321,5.3305874,148.23103,4.9566684,110.53108,4.867427,146.8487,4.8420267
79.550385,7894.3335,148.79718,4.585105,141.90239,4.5240655,104.91319,4.849658,140.6976,4.36231
80.050385,7943.952,150.51399,4.8617525,143.18669,4.676674,105.50491,4.6928043,142.02385,4.5133767
80.550385,7993.571,148.02335,4.5231156,140.36429,4.7957163,102.435005,4.9488907,139.2541,4.527671
81.050385,8043.189,152.71277,5.3343673,145.60068,5.758816,107.6208,5.928586,144.37056,5.4856143
81.550385,8092.8076,153.60342,5.457172,146.45035,5.301414,108.499146,5.3002477,145.23102,5.1095843
82.050385,8142.426,153.5223,4.915257,145.95367,4.9395022,107.95462,5.1131935,144.81923,4.7271914
82.550385,8192.044,152.45706,4.8344784,145.08629,4.791966,107.536674,4.750809,143.94223,4.5767603
83.050385,8241.663,156.0759,5.403242,148.46634,4.9999943,110.61273,4.8280063,147.3511,4.857311
83.550385,8291.281,158.99867,6.109987,151.8838,6.2647953,115.05237,6.0825105,150.7372,6.0277386
84.050385,8340.899,163.36621,6.41737,156.03238,6.708948,121.097885,6.639412,155.06927,6.4649878
84.550385,8390.518,144.8757,12.248153,137.20654,11.406648,102.765526,10.568775,136.35036,11.409637
85.050385,8440.137,134.41853,9.351258,127.06814,8.850868,94.261734,7.7923717,126.26221,8.739803
85.550385,8489.756,125.4634,12.56184,118.47024,11.701079,86.88691,9.518559,117.67667,11.599492
86.050385,8539.374,129.85266,7.9266706,123.32346,7.3569093,91.14123,6.6417594,122.388016,7.273368
86.550385,8588.992,116.10111,12.66868,110.71354,11.676756,83.09911,9.346338,109.86517,11.596956
87.050385,8638.61,125.98876,17.936111,122.00555,17.401325,92.41868,14.143148,120.71621,17.202223
87.550385,8688.2295,140.00949,8.071107,135.05457,6.948031,101.773506,6.9766116,133.7051,7.0317445
88.050385,8737.848,,,,,,,,
88.550385,8787.466,,,,,,,,
89.050385,8837.084,,,,,,,,
89.550385,8886.703,,,,,,,,
90.050385,8936.321,,,,,,,,
90.550385,8985.939,,,,,,,,
91.050385,9035.558,,,,,,,,
91.550385,9085.177,,,,,,,,
92.050385,9134.795,,,,,,,,
92.550385,9184.413,,,,,,,,
93.050385,9234.031,151.92969,8.458017,147.10658,8.309754,111.35675,7.989415,145.55084,8.1633005
93.550385,9283.65,148.31084,9.598341,143.24747,9.242371,107.45958,8.482384,141.74005,9.104012
94.050385,9333.269,146.75235,10.142127,141.63437,10.023233,106.73651,9.462061,140.20282,9.84743
94.550385,9382.887,142.50241,8.274839,137.59525,7.8021955,103.12479,7.177163,136.14975,7.675375
95.050385,9432.506,143.32158,7.8261886,138.66817,7.237034,105.297066,6.1417327,137.2481,7.104368
95.550385,9482.124,146.60046,8.724772,141.91412,8.578742,110.984856,8.33267,140.67735,8.418748
96.050385,9531.743,144.25063,7.110848,138.74739,6.8545136,107.75135,6.636678,137.67946,6.724861
96.550385,9581.361,139.4317,6.322038,133.46931,5.9361653,101.73425,5.2797527,132.44565,5.796598
97.050385,9630.9795,140.16127,6.9797826,134.30379,7.082069,102.53877,7.0276265,133.25566,6.909193
97.550385,9680.598,149.57321,8.694151,143.74467,8.045317,111.1951,7.143523,142.63374,7.961704
98.050385,9730.217,136.3906,12.344182,131.48528,11.408282,101.3331,9.815575,130.35115,11.36421
98.550385,9779.835,139.29988,6.289782,135.06657,6.1974683,103.57132,5.358976,133.69261,5.9571166
99.050385,9829.453,144.0358,6.508798,139.64276,6.296633,107.29424,6.0170016,138.24117,6.1247473
99.550385,9879.071,142.935,6.5098386,138.36174,6.451837,105.25464,6.0870924,136.94368,6.2502494
100.050385,9928.69,145.36655,7.2356954,141.33562,7.025112,108.08649,6.781941,139.792,6.847188
