SB_DEPTH_pxl,SB_DEPTH_cm,CT,CT_std
63,0.6348590579377468,687.8196835306115,171.976658994672
64,0.6449361858415206,688.1618506041968,171.27364480150356
65,0.6550133137452944,688.5040176777823,170.57063060833514
66,0.665090441649068,688.8461847513676,169.8676164151667
67,0.6751675695528419,689.1883518249529,169.1646022219983
68,0.6852446974566156,689.5305188985382,168.46158802882988
69,0.6953218253603893,689.6358490177292,167.53748694303272
70,0.7053989532641631,688.7439709078922,165.68249367774615
71,0.7154760811679369,687.852092798055,163.82750041245959
72,0.7255532090717106,686.9602146882179,161.97250714717302
73,0.7356303369754844,686.0683365783807,160.11751388188648
74,0.7457074648792582,685.1764584685436,158.26252061659991
75,0.7557845927830319,684.2845803587065,156.40752735131335
76,0.7658617206868057,681.0048109116008,151.94457706288557
77,0.7759388485905795,677.5635076387387,147.3052061523041
78,0.7860159764943532,674.1222043658765,142.66583524172265
79,0.796093104398127,670.6809010930144,138.0264643311412
80,0.8061702323019007,667.2395978201522,133.3870934205597
81,0.8162473602056745,663.7982945472901,128.74772250997825
82,0.8263244881094483,659.4578787691484,126.19174225831904
83,0.8364016160132219,654.6969885444674,124.61007003718004
84,0.8464787439169957,649.9360983197865,123.02839781604104
85,0.8565558718207695,645.1752080951056,121.44672559490203
86,0.8666329997245432,640.4143178704247,119.86505337376303
87,0.876710127628317,635.6534276457438,118.28338115262402
88,0.8867872555320908,632.0385439523648,116.98411936737556
89,0.8968643834358645,629.967311297916,116.06525957012619
90,0.9069415113396383,627.8960786434671,115.1463997728768
91,0.9170186392434121,625.8248459890184,114.22753997562742
92,0.9270957671471858,623.7536133345695,113.30868017837805
93,0.9371728950509596,621.6823806801208,112.38982038112867
94,0.9472500229547334,619.9677864655768,111.4781449362861
95,0.9573271508585071,619.9846143544416,110.60134836361203
96,0.9674042787622809,620.0014422433064,109.72455179093795
97,0.9774814066660547,620.0182701321713,108.84775521826388
98,0.9875585345698283,620.0350980210362,107.9709586455898
99,0.9976356624736021,620.051925909901,107.09416207291574
100,1.007712790377376,620.0687537987659,106.21736550024166
101,1.0177899182811496,622.1115034356296,105.66604365302446
102,1.0278670461849233,624.3411987102224,105.14475558187752
103,1.0379441740886972,626.5708939848153,104.62346751073058
104,1.048021301992471,628.8005892594081,104.10217943958364
105,1.0580984298962446,631.0302845340009,103.5808913684367
106,1.0681755578000185,633.2599798085937,103.05960329728975
107,1.0782526857037922,638.0385915979026,105.22694318853675
108,1.0883298136075659,644.1288850429067,108.77786075166932
109,1.0984069415113398,650.219178487911,112.3287783148019
110,1.1084840694151135,656.3094719329151,115.87969587793445
111,1.1185611973188871,662.3997653779193,119.43061344106702
112,1.128638325222661,668.4900588229235,122.9815310041996
113,1.1387154531264347,675.4901013175923,128.32089143565955
