SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
139.5,13843.23,1077.2427,234.62479
140.0,13892.848,1145.4093,175.41673
140.5,13942.465,1140.4285,174.40047
141.0,13992.082,1142.5554,242.76405
141.5,14041.699,1026.8605,197.22661
142.0,14091.316,890.9958,131.53133
142.5,14140.934,926.11017,149.0248
143.0,14190.552,989.6726,138.23972
143.5,14240.168,1086.149,221.60454
144.0,14289.786,949.1616,302.34277
144.5,14339.403,653.0169,152.54953
145.0,14389.021,617.02716,23.701899
145.5,14438.638,623.35187,28.11339
146.0,14488.255,620.9638,19.787653
146.5,14537.873,624.0577,19.204817
147.0,14587.489,628.9361,21.337982
147.5,14637.107,636.3978,21.49574
148.0,14686.725,643.05566,23.291065
148.5,14736.342,667.69934,42.495285
149.0,14785.959,663.21075,35.345795
149.5,14835.576,681.1157,26.43809
150.0,14885.193,710.0597,65.6808
150.5,14934.811,700.8967,36.38132
151.0,14984.428,732.5761,64.00711
151.5,15034.046,715.4905,61.008167
152.0,15083.663,772.41925,128.29198
152.5,15133.28,970.9576,264.736
153.0,15182.897,776.79395,240.32741
153.5,15232.516,649.07166,54.511345
154.0,15282.132,647.39197,47.62614
154.5,15331.75,634.5418,33.747818
155.0,15381.366,651.459,42.304333
155.5,15430.983,644.69977,44.36677
156.0,15480.602,623.85846,33.36371
156.5,15530.218,632.7142,31.53629
157.0,15579.836,640.2884,32.208836
157.5,15629.453,645.96716,33.650604
158.0,15679.071,657.7416,34.53548
158.5,15728.6875,675.8071,53.506134
159.0,15778.306,718.4509,74.972336
159.5,15827.923,697.41833,73.60616
160.0,15877.54,692.4958,90.79624
160.5,15927.157,731.24603,90.07259
161.0,15976.774,877.5342,190.19351
161.5,16026.392,914.88904,204.33873
162.0,16076.009,691.6074,114.87361
162.5,16125.626,671.54193,138.37468
163.0,16175.244,669.97253,131.74452
163.5,16224.86,673.56836,138.38802
164.0,16274.479,612.62463,61.22574
164.5,16324.096,605.69977,25.824114
165.0,16373.713,603.27795,28.399708
165.5,16423.33,608.2778,27.04838
166.0,16472.947,610.4514,55.298954
166.5,16522.564,635.6689,53.92309
167.0,16572.182,659.4492,44.946182
167.5,16621.8,660.41614,49.888428
168.0,16671.416,662.19073,46.330624
168.5,16721.035,655.6267,46.76551
169.0,16770.652,654.41364,64.17446
169.5,16820.27,664.0168,63.84881
170.0,16869.887,678.0435,60.570908
170.5,16919.504,672.70557,63.5724
171.0,16969.121,667.7266,60.725845
171.5,17018.738,657.57074,62.251198
172.0,17068.355,681.1717,72.44565
172.5,17117.973,674.27234,59.88829
173.0,17167.59,675.76624,64.061935
173.5,17217.207,691.90356,78.563324
174.0,17266.824,689.4849,89.069115
174.5,17316.441,696.0362,77.169785
175.0,17366.059,697.3745,75.11279
175.5,17415.676,694.72656,84.03731
176.0,17465.293,952.4469,248.3383
176.5,17514.91,1254.7736,132.4755
177.0,17564.53,865.8199,347.34036
177.5,17614.145,733.4423,193.66727
178.0,17663.764,654.9885,36.889023
178.5,17713.38,639.8147,21.32201
179.0,17762.996,628.9085,38.391453
179.5,17812.615,646.7044,47.058926
180.0,17862.232,662.0002,48.640324
180.5,17911.85,659.3482,41.881783
181.0,17961.467,674.56946,72.41084
181.5,18011.084,692.83673,43.90558
182.0,18060.701,692.1747,45.69537
182.5,18110.318,699.7117,47.57657
183.0,18159.936,721.1836,41.98043
183.5,18209.553,744.5611,54.223244
184.0,18259.172,725.3209,51.477375
184.5,18308.79,722.2881,40.652966
185.0,18358.406,732.9334,40.58465
185.5,18408.023,728.9037,41.97982
186.0,18457.64,732.9884,47.57081
186.5,18507.258,734.8172,73.281845
187.0,18556.875,819.9658,138.96964
187.5,18606.492,998.27136,131.32849
188.0,18656.11,,
188.5,18705.727,,
189.0,18755.344,,
189.5,18804.96,,
190.0,18854.578,,
190.5,18904.195,,
191.0,18953.814,,
191.5,19003.43,,
192.0,19053.049,703.7566,303.52844
192.5,19102.666,765.73083,268.82657
193.0,19152.283,795.647,106.57182
193.5,19201.9,884.12317,140.17548
194.0,19251.518,883.874,137.02602
194.5,19301.135,878.8825,109.961395
195.0,19350.752,875.0929,89.89945
195.5,19400.37,886.5333,98.36386
196.0,19449.986,855.62744,46.406414
196.5,19499.604,882.2411,86.32475
197.0,19549.22,941.8865,138.64638
197.5,19598.838,995.3467,229.43852
198.0,19648.455,841.5423,222.32198
198.5,19698.072,866.07825,214.26936
199.0,19747.69,764.1504,118.92217
199.5,19797.307,732.66675,108.42859
200.0,19846.924,705.85706,112.7423
200.5,19896.543,647.1921,87.683876
201.0,19946.158,654.6204,88.1775
201.5,19995.777,690.59375,104.13483
202.0,20045.395,682.9208,72.314766
202.5,20095.012,690.81104,80.20312
203.0,20144.629,748.76636,123.706
203.5,20194.246,870.68585,223.74467
204.0,20243.863,943.78986,245.95132
204.5,20293.48,939.91675,222.04549
205.0,20343.098,973.13293,234.19049
205.5,20392.715,943.45435,245.4116
206.0,20442.332,943.40735,249.23271
206.5,20491.95,961.0501,252.60599
207.0,20541.566,1006.43774,252.72145
207.5,20591.184,1151.4171,293.84747
208.0,20640.803,1036.855,263.3039
208.5,20690.42,1137.3396,284.59106
209.0,20740.037,1144.6089,282.85776
209.5,20789.654,1111.0768,254.02228
210.0,20839.271,1033.645,316.03836
210.5,20888.889,942.9158,273.38297
211.0,20938.506,878.3907,185.72028
211.5,20988.123,846.18823,171.54846
212.0,21037.74,833.852,144.73746
212.5,21087.357,812.05804,99.96968
213.0,21136.975,805.0981,69.05819
213.5,21186.592,809.55164,61.71831
214.0,21236.209,816.1399,63.790985
214.5,21285.828,894.77423,160.61604
215.0,21335.443,954.765,173.72694
215.5,21385.062,975.9066,162.39207
216.0,21434.68,998.005,260.93198
216.5,21484.297,938.265,282.65704
217.0,21533.914,915.3969,273.1064
217.5,21583.531,854.6783,214.53682
218.0,21633.148,822.42993,167.12512
218.5,21682.766,806.23773,94.113
219.0,21732.383,798.36755,118.108025
219.5,21782.0,811.4994,131.321
220.0,21831.617,849.8754,191.23103
220.5,21881.234,865.7027,158.631
221.0,21930.852,833.4644,137.63983
221.5,21980.469,853.548,153.91151
222.0,22030.086,872.18134,164.98509
222.5,22079.703,909.2675,183.95438
223.0,22129.32,915.7941,158.9203
223.5,22178.938,933.1266,159.97342
224.0,22228.557,923.6379,155.20299
224.5,22278.172,929.3656,193.92426
225.0,22327.791,912.8112,174.90845
225.5,22377.408,924.98486,185.39581
226.0,22427.025,921.56537,277.6045
226.5,22476.643,935.6285,191.76686
227.0,22526.26,976.9449,211.05379
227.5,22575.877,1007.509,221.82465
