SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
192.0,18988.486,528.6068,21.512281
192.5,19037.938,526.93616,19.31774
193.0,19087.385,528.79767,16.349817
193.5,19136.834,528.577,24.233742
194.0,19186.283,526.0327,24.386587
194.5,19235.732,526.9502,22.514185
195.0,19285.182,529.50885,22.959251
195.5,19334.63,526.11456,22.557917
196.0,19384.08,521.5436,27.244637
196.5,19433.53,527.7365,22.255009
197.0,19482.979,515.71423,37.774734
197.5,19532.428,526.0968,24.702335
198.0,19581.877,521.3891,20.459688
198.5,19631.326,516.3316,21.332079
199.0,19680.775,519.0891,19.771286
199.5,19730.225,518.82513,19.774002
200.0,19779.674,521.9396,43.00845
200.5,19829.123,522.8018,23.378416
201.0,19878.572,518.0244,23.855734
201.5,19928.021,512.32196,28.34645
202.0,19977.47,510.65338,32.02857
202.5,20026.92,506.24487,31.419622
203.0,20076.37,500.7766,19.927286
203.5,20125.818,514.5325,30.584106
204.0,20175.268,517.18164,34.108017
204.5,20224.717,508.2112,22.22204
205.0,20274.166,511.1419,22.49534
205.5,20323.615,503.02786,22.487494
206.0,20373.062,518.5993,29.46682
206.5,20422.514,503.0928,19.007961
207.0,20471.963,506.3525,18.078886
207.5,20521.412,503.07843,16.543928
208.0,20570.861,506.1561,17.039652
208.5,20620.31,506.3927,12.8779745
209.0,20669.758,506.1853,10.734855
209.5,20719.209,509.99445,15.6751585
210.0,20768.658,514.13446,13.957223
210.5,20818.107,509.52264,13.516542
211.0,20867.557,511.6796,15.599483
211.5,20917.004,508.95267,13.179485
212.0,20966.453,507.16776,13.9456
212.5,21015.904,513.21075,13.540015
213.0,21065.354,512.87213,12.555861
213.5,21114.803,512.94366,19.570362
214.0,21164.25,511.72076,16.456688
214.5,21213.7,510.2959,13.488385
215.0,21263.148,512.3201,15.757445
215.5,21312.6,508.93515,13.279663
216.0,21362.049,512.0712,17.102066
216.5,21411.496,514.92725,26.142143
217.0,21460.945,514.13403,20.523346
217.5,21510.395,511.01932,15.643661
218.0,21559.844,512.04614,16.205719
218.5,21609.295,513.29144,12.696596
219.0,21658.744,511.4878,12.845372
219.5,21708.191,508.56866,13.22501
220.0,21757.64,507.821,12.238516
220.5,21807.09,510.61844,13.36898
221.0,21856.54,512.0394,12.636763
221.5,21905.99,511.11032,12.231482
222.0,21955.438,513.06696,16.046173
222.5,22004.887,511.75372,13.885988
223.0,22054.336,512.42255,27.316574
223.5,22103.785,515.74493,35.407948
224.0,22153.234,518.99927,53.13197
224.5,22202.684,515.3274,22.333036
225.0,22252.133,522.43,39.71792
225.5,22301.582,528.3285,40.25322
226.0,22351.031,526.97974,25.01229
226.5,22400.48,526.9323,19.694662
227.0,22449.93,528.374,12.117281
227.5,22499.379,530.1883,13.045756
228.0,22548.828,528.98364,21.221342
228.5,22598.277,541.9546508789062,
229.0,22647.727,541.58544921875,
229.5,22697.176,546.607177734375,
230.0,22746.625,536.6465,19.040665
230.5,22796.074,537.19135,13.720268
231.0,22845.523,537.09064,14.668059
231.5,22894.973,532.1015,14.170372
232.0,22944.422,532.2975,14.179875
232.5,22993.871,531.6908,15.542392
233.0,23043.32,541.98895,14.5231695
233.5,23092.77,538.3153,16.482832
234.0,23142.219,551.08966,15.113583
234.5,23191.668,561.3342,16.900097
235.0,23241.117,570.0249,21.407957
235.5,23290.566,573.4632,18.85051
236.0,23340.016,581.57404,19.101637
236.5,23389.465,858.45166,337.70105
237.0,23438.914,1028.7191,329.73013
237.5,23488.363,1031.3866,310.14566
238.0,23537.81,702.91656,790.3188
238.5,23587.262,642.875732421875,
239.0,23636.71,665.411376953125,
239.5,23686.16,699.9375,
240.0,23735.61,656.078125,
240.5,23785.057,631.9903564453125,
241.0,23834.506,636.590087890625,
241.5,23883.957,656.494873046875,
242.0,23933.406,655.7421875,
242.5,23982.855,661.7033081054688,
243.0,24032.303,729.0546875,
243.5,24081.752,752.12255859375,
244.0,24131.201,786.35114,334.3917
244.5,24180.652,768.15875,325.30414
245.0,24230.102,736.13055,298.20895
245.5,24279.55,715.41565,299.63135
246.0,24328.998,675.0492,243.70023
246.5,24378.447,604.9726,139.36253
247.0,24427.896,572.6572,44.819077
247.5,24477.346,581.5227,22.340868
248.0,24526.795,562.1899,25.537989
248.5,24576.244,559.50745,18.622955
249.0,24625.693,555.7094,19.839535
249.5,24675.143,547.6725,23.844126
250.0,24724.592,549.2582,26.847218
250.5,24774.041,541.90735,22.27819
251.0,24823.49,547.8299,21.093275
251.5,24872.94,542.94244,17.557478
252.0,24922.389,537.26556,17.833675
252.5,24971.838,527.6104,39.77386
253.0,25021.287,528.6737,25.258438
253.5,25070.736,536.86926,24.622177
254.0,25120.186,532.0566,23.589546
254.5,25169.635,528.48566,28.703745
255.0,25219.084,537.90906,28.153954
255.5,25268.533,535.70135,26.372746
256.0,25317.982,529.75354,24.52923
256.5,25367.432,527.0423,24.060823
257.0,25416.883,528.83307,33.651844
257.5,25466.33,526.7688,36.37468
258.0,25515.78,532.2848,30.151178
258.5,25565.229,530.2994,32.126022
259.0,25614.676,526.37,28.865896
259.5,25664.127,534.313,16.63177
260.0,25713.576,526.58875,24.310837
260.5,25763.023,525.6028,34.168472
261.0,25812.475,523.7388,25.672112
261.5,25861.924,523.73804,22.535835
262.0,25911.371,516.4137,27.966883
262.5,25960.822,517.19385,19.73097
263.0,26010.271,521.13226,20.319292
263.5,26059.72,519.15466,25.618124
264.0,26109.17,527.20056,20.949226
264.5,26158.62,527.76697,18.762505
265.0,26208.066,523.28,18.045584
265.5,26257.518,524.4069,17.423925
266.0,26306.967,518.9417,28.173828
266.5,26356.416,524.4551,19.846529
267.0,26405.863,528.0648,21.546923
267.5,26455.314,524.7317,31.848883
268.0,26504.762,525.16675,23.656065
268.5,26554.21,525.1196,24.912573
269.0,26603.662,528.8128,46.30445
269.5,26653.111,525.0467,48.140285
270.0,26702.559,526.7075,21.930874
270.5,26752.01,526.98926,26.643574
271.0,26801.457,514.647,65.30049
271.5,26850.906,516.2527,26.01764
272.0,26900.357,519.38025,28.328642
272.5,26949.807,522.38055,32.70471
273.0,26999.254,529.96185,37.338707
273.5,27048.703,526.82184,41.431843
274.0,27098.154,523.452,31.998718
274.5,27147.602,525.2269,21.858723
275.0,27197.05,529.1283,19.85541
275.5,27246.502,525.103,25.29779
276.0,27295.95,526.53613,32.193027
276.5,27345.398,518.6694,28.171457
277.0,27394.85,513.4941,48.163692
277.5,27444.299,519.384,40.164234
278.0,27493.746,514.72296,45.3215
278.5,27543.197,508.79468,16.81246
279.0,27592.645,510.29102,17.086376
279.5,27642.094,510.50616,15.520263
280.0,27691.543,514.835,16.824306
280.5,27740.994,515.6103,14.415961
281.0,27790.441,515.0037,15.828724
281.5,27839.89,515.84515,30.7956
282.0,27889.34,510.44754,18.620556
282.5,27938.79,507.76187,17.935146
283.0,27988.238,511.50626,20.498497
283.5,28037.688,505.33795,16.744272
284.0,28087.137,506.51157,17.329878
284.5,28136.586,506.11877,15.334393
285.0,28186.037,505.5558,13.84479
285.5,28235.482,504.5925,18.83666
286.0,28284.934,507.5133,15.427695
286.5,28334.383,508.71152,14.669331
287.0,28383.832,506.43832,11.874076
287.5,28433.281,506.41553,14.77138
288.0,28482.73,506.76096,13.77232
288.5,28532.178,506.98724,14.448335
289.0,28581.629,504.9692,14.360717
289.5,28631.078,503.8945,14.764955
290.0,28680.527,504.33157,16.561316
290.5,28729.977,504.71786,15.218287
291.0,28779.426,505.02213,15.761585
291.5,28828.873,505.21024,13.900361
292.0,28878.324,509.75528,34.719196
292.5,28927.773,503.93716,15.3044405
293.0,28977.223,504.99854,13.271213
293.5,29026.67,505.38318,12.530247
294.0,29076.121,506.38367,14.787812
294.5,29125.568,512.28906,35.06655
295.0,29175.018,507.6763,11.94529
295.5,29224.469,508.9236,12.551403
296.0,29273.918,508.39868,12.656373
296.5,29323.365,513.14197,13.169682
297.0,29372.816,514.17,10.63629
297.5,29422.266,518.58044,13.3351145
298.0,29471.713,522.15924,12.200946
298.5,29521.164,527.68976,13.089685
299.0,29570.613,538.5799,17.662628
299.5,29620.06,535.9541,16.983017
300.0,29669.51,583.7899,33.77555
300.5,29718.96,599.9764,38.746803
301.0,29768.41,598.273,37.391827
301.5,29817.857,609.3382,28.209515
