SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
299.55054,29625.438,137.67746,7.228103,125.844185,9.661371,85.85229,8.004595,125.47253,8.672591
300.05054,29674.887,128.0334,8.615406,116.78255,10.52474,78.3006,8.606323,116.39609,9.638513
300.55054,29724.338,132.92953,7.5611315,122.13526,10.350519,82.81956,8.344605,121.59154,9.25308
301.05054,29773.785,133.94267,6.8952584,123.25291,9.210074,84.60693,7.124921,122.73531,8.149099
301.55054,29823.236,128.87971,6.670389,118.0094,8.689388,80.071526,6.6832185,117.581314,7.6952777
302.05054,29872.686,130.29361,9.075918,121.305214,10.522392,82.69031,7.8192124,120.42815,9.637109
302.55054,29922.137,126.552055,10.033549,119.4671,11.097834,81.60301,7.9667344,118.23957,10.279161
303.05054,29971.584,127.98384,9.315281,120.77073,10.652307,82.86474,7.630212,119.56743,9.7578745
303.55054,30021.035,128.7156,8.580821,121.26119,10.398179,82.999374,7.3669596,120.0835,9.411725
304.05054,30070.486,131.24408,6.9693913,122.123024,9.150773,82.91981,6.2766013,121.23169,8.063944
304.55054,30119.936,130.14859,6.481218,120.42098,8.61945,81.8058,6.0349045,119.70106,7.5528913
305.05054,30169.385,129.93364,6.8440046,120.33668,8.941318,82.21149,6.2732763,119.62435,7.861573
305.55054,30218.834,128.8004,8.019586,119.74666,9.787124,82.22113,6.639672,118.96214,8.757281
306.05054,30268.285,129.35634,8.817884,120.91691,10.276443,82.52179,7.0807014,119.93901,9.34502
306.55054,30317.732,128.31055,9.547483,119.867134,10.896494,82.57624,7.692796,118.96981,9.961672
307.05054,30367.184,108.17233,26.122524,105.134964,24.327341,73.20809,16.973186,103.475586,23.864923
307.55054,30416.635,137.07956,32.441303,131.52405,30.009703,91.7273,22.040089,129.83182,29.677795
308.05054,30466.084,168.05978,19.016273,157.40152,19.666393,108.02623,16.483345,156.10258,19.06127
308.55054,30515.533,178.46922,14.964218,167.16406,16.575365,116.939224,13.057354,165.9413,15.692737
309.05054,30564.982,184.21399,11.452785,171.51773,13.173683,118.801704,10.955427,170.41084,12.3303175
309.55054,30614.434,184.52437,11.190677,171.85979,13.115692,119.544655,10.802839,170.77513,12.225946
310.05054,30663.883,179.56573,12.938604,167.46884,14.321725,115.696,11.277097,166.30266,13.483551
310.55054,30713.332,175.96463,11.481699,162.91144,13.467247,111.711464,10.527036,161.98991,12.544888
311.05054,30762.783,175.99777,11.0604315,162.24123,13.340189,111.10236,10.559613,161.47363,12.386656
311.55054,30812.232,179.31833,10.255969,166.33775,12.61195,114.96975,10.289451,165.38866,11.658666
312.05054,30861.682,170.36832,15.218129,157.94469,17.484509,109.458405,14.732067,157.08525,16.584877
312.55054,30911.13,172.58904,11.367205,159.18387,13.461227,108.86438,10.346919,158.40074,12.510503
313.05054,30960.582,167.08778,12.339808,154.17415,14.29289,105.30726,11.076912,153.3914,13.392661
313.55054,31010.031,169.53981,13.435307,156.36142,15.037699,107.72758,12.184297,155.65178,14.241231
314.05054,31059.48,155.83607,10.3583555,141.97456,11.741202,95.3619,8.557209,141.55608,10.90895
314.55054,31108.932,152.85425,7.619466,139.18982,9.663703,93.4419,7.0704217,138.79189,8.75935
315.05054,31158.38,151.08372,9.256283,136.87244,10.689767,91.844635,7.666824,136.64275,9.856355
315.55054,31207.83,153.86848,11.066741,139.89548,12.35549,93.48658,8.683445,139.51541,11.577712
316.05054,31257.28,143.15938,7.1726904,129.50836,9.234796,85.03673,6.2505693,129.1997,8.266275
316.55054,31306.73,142.2403,6.6283364,128.07253,8.534215,83.29119,6.2875767,127.85138,7.6884837
317.05054,31356.182,144.78786,5.8119187,130.87923,8.305213,85.89147,6.072341,130.58807,7.2593393
317.55054,31405.629,145.33092,6.5375137,131.23442,8.831215,86.852104,7.0028024,131.02693,7.9285126
318.05054,31455.08,140.7066,5.7886367,126.511406,8.168348,81.86517,6.535564,126.30585,7.2053432
318.55054,31504.53,151.28572,7.4053497,134.91405,9.638646,90.602455,7.680721,135.19536,8.663687
319.05054,31553.979,147.94281,8.727525,133.48524,10.834529,88.42296,8.490355,133.30542,9.914261
319.55054,31603.428,145.7,8.806354,131.62682,10.522213,87.10635,8.200704,131.4044,9.685448
320.05054,31652.879,143.61174,8.156859,129.4263,9.796506,84.35176,8.018852,129.18774,9.027398
320.55054,31702.33,143.61261,5.573454,129.5325,8.505688,84.780685,7.012369,129.29486,7.420396
321.05054,31751.78,144.34515,5.4269586,130.3172,8.137377,85.27644,6.566338,130.04759,7.070023
321.55054,31801.229,144.0599,7.202884,129.55737,9.495875,84.30988,7.628698,129.37375,8.550338
322.05054,31850.68,151.40294,13.8976965,136.75827,15.792741,89.60019,12.673309,136.46692,14.973755
322.55054,31900.129,156.82465,16.186506,142.85425,17.818596,95.13957,14.348886,142.37936,17.037422
323.05054,31949.576,147.1118,9.679655,132.92958,11.728411,87.2057,9.357455,132.64345,10.867514
323.55054,31999.027,144.9826,10.100957,130.85469,11.810097,85.34344,9.118775,130.57239,11.014018
324.05054,32048.479,141.74007,5.9657493,127.69887,8.331712,83.914314,6.5970235,127.52278,7.312435
324.55054,32097.926,147.34592,11.408031,133.61783,13.707498,88.48551,10.738361,133.27788,12.763445
325.05054,32147.377,150.38907,13.103654,136.13454,14.901415,90.13493,11.443922,135.84389,14.024493
325.55054,32196.828,141.88635,7.884003,127.45823,9.801929,83.17283,7.4024243,127.32824,8.885355
326.05054,32246.277,140.57353,5.9478836,126.682915,7.9416127,82.439995,5.798732,126.44172,7.0243487
326.55054,32295.727,141.46352,5.1957097,127.54283,7.731609,83.61469,6.198193,127.330765,6.7551527
327.05054,32345.176,142.95534,5.633495,128.78131,8.140373,84.59232,6.169643,128.60425,7.074445
327.55054,32394.627,144.86761,5.2344766,130.3495,7.8012586,85.612526,6.0959716,130.20604,6.810345
328.05054,32444.076,143.15051,5.3855104,128.73268,7.75221,84.65895,6.202465,128.61578,6.7323318
328.55054,32493.525,145.00331,4.6248784,130.66393,7.320126,86.00052,5.7862787,130.48778,6.3105273
329.05054,32542.977,144.0193,4.976475,129.6037,7.694798,85.06193,5.904796,129.45255,6.607273
329.55054,32592.426,143.98119,6.2691255,129.42924,8.408222,84.02385,6.6608176,129.24472,7.500971
330.05054,32641.875,141.64601,6.0130115,127.19287,8.027525,82.09505,6.608139,127.009544,7.118368
330.55054,32691.324,143.28952,6.4944167,128.9932,8.717195,84.5362,7.516317,128.8228,7.8444366
331.05054,32740.775,142.26572,6.398747,127.56565,8.6763115,82.5781,7.3014708,127.44278,7.706784
331.55054,32790.227,140.44656,5.4869385,125.94368,7.7265267,81.01333,6.082871,125.78302,6.784133
332.05054,32839.67,141.41267,5.182357,126.974464,7.6080675,82.45053,5.5753417,126.8294,6.534351
332.55054,32889.125,141.2863,6.1578364,127.00677,8.319657,82.368866,6.224311,126.81974,7.306177
333.05054,32938.574,140.1262,5.878591,125.716385,8.106757,80.251755,6.3491387,125.49736,7.1094155
333.55054,32988.023,140.49536,5.8661103,126.19534,8.082984,80.825676,6.756472,125.95983,7.186814
334.05054,33037.473,140.19064,5.6429543,125.872154,7.8452516,80.44391,6.149478,125.63634,6.9212728
334.55054,33086.926,139.28612,5.923356,124.94803,7.800758,79.425865,6.0416665,124.7096,6.9328194
335.05054,33136.375,139.96481,6.055984,125.782005,7.962679,80.525566,6.016411,125.52975,7.074088
335.55054,33185.824,141.8197,7.13032,127.304146,8.778613,82.36984,6.8266897,127.1459,7.958207
336.05054,33235.273,141.91956,6.2866735,127.18327,8.509565,82.32599,7.141464,127.07751,7.6282144
336.55054,33284.723,142.87025,6.0549107,128.11856,8.430672,83.17585,7.074451,128.0099,7.5121255
337.05054,33334.17,141.1236,6.392233,126.13898,8.503534,80.65397,7.4257083,126.04069,7.6893444
337.55054,33383.62,142.57423,6.2566605,127.879715,8.329895,82.70641,7.1414495,127.742256,7.4645715
338.05054,33433.074,142.40524,5.338744,127.83489,7.550988,82.92734,6.1783795,127.69022,6.6441193
338.55054,33482.523,142.57608,5.4391565,128.0443,7.6479206,82.714,6.139809,127.86091,6.684325
339.05054,33531.973,142.28731,5.605966,127.933914,7.7750044,82.8746,6.142859,127.73217,6.8695874
339.55054,33581.42,140.97824,5.790903,126.670975,7.766628,81.58527,6.210531,126.45751,6.8420997
340.05054,33630.87,141.34636,5.710851,126.77689,7.9050198,81.39587,6.1188884,126.597855,6.9379964
340.55054,33680.32,141.00836,5.022555,126.655685,7.48956,81.503006,5.5490413,126.44704,6.4479785
341.05054,33729.77,141.76253,4.439692,127.50058,7.1350164,82.56774,5.0394964,127.28852,6.0711293
341.55054,33779.223,139.69429,4.700259,125.55429,6.9977365,80.38091,5.133626,125.298935,5.999417
342.05054,33828.67,139.8523,4.401713,125.5569,7.151515,80.08375,5.056457,125.31294,6.0322523
342.55054,33878.117,139.6787,4.423161,125.56835,7.069897,80.50304,5.00668,125.31449,6.030972
343.05054,33927.57,141.20128,4.996729,126.76723,7.626408,81.6541,5.832597,126.57874,6.560089
343.55054,33977.02,139.61588,5.0477095,125.16971,7.312282,79.43846,5.3611026,124.93916,6.3514676
344.05054,34026.473,139.91306,5.254452,125.40019,7.4429274,79.87404,6.028151,125.19864,6.555844
344.55054,34075.918,139.58153,5.6443677,125.14194,7.966056,79.0642,6.395942,124.88498,7.007122
345.05054,34125.37,139.59787,5.332805,124.97981,7.859922,78.82631,6.363566,124.75533,6.878256
345.55054,34174.82,140.37209,5.55404,126.12762,8.054105,80.6939,6.2919755,125.87568,7.0777535
346.05054,34224.27,142.51021,4.4056406,128.48915,7.0002694,83.50278,5.037139,128.222,5.9168787
346.55054,34273.72,143.38513,3.9966722,129.5172,6.609154,84.94933,4.540211,129.24773,5.555852
347.05054,34323.168,147.0831,8.2981205,132.30214,9.508696,86.23644,6.8420043,132.11862,8.743515
347.55054,34372.62,143.21483,4.2149367,129.13791,6.8244143,84.10756,5.057191,128.87947,5.800794
348.05054,34422.07,142.79163,4.3494725,128.43916,7.096391,83.31865,5.261944,128.23279,6.0478587
348.55054,34471.52,140.25761,5.0526686,125.79872,7.1278715,80.51707,5.16807,125.60335,6.126138
349.05054,34520.97,142.67876,4.770768,127.87318,7.104103,83.168625,4.912265,127.793175,6.1125493
349.55054,34570.418,142.19968,4.588971,127.971634,6.8267894,82.905846,4.7981114,127.74277,5.855708
350.05054,34619.867,142.44576,4.6341524,128.08003,6.896194,82.96622,5.044492,127.87697,5.8654723
350.55054,34669.316,140.40573,4.285167,125.88155,6.760762,80.50393,4.971943,125.69313,5.745463
351.05054,34718.77,140.62102,4.884757,126.33183,7.2664657,80.76334,5.373384,126.07967,6.2401
351.55054,34768.215,141.76572,6.4660673,127.53163,8.258003,82.32598,5.8540545,127.29395,7.30631
352.05054,34817.668,140.20126,6.4364967,126.093575,8.208941,80.97993,6.013447,125.83566,7.3198514
352.55054,34867.117,144.57497,4.502357,130.58736,6.9814944,85.88419,4.7714276,130.33356,5.8920197
353.05054,34916.566,143.94215,4.218312,129.63177,6.712814,85.42413,4.6932526,129.48236,5.6282167
353.55054,34966.016,141.3672,7.569497,127.90159,8.626987,84.51152,5.4311385,127.63162,7.8555245
354.05054,35015.465,141.86627,4.74736,128.11636,6.8707147,83.921616,4.76528,127.84873,5.916762
354.55054,35064.918,142.43887,4.3274407,128.92628,6.4977283,84.55319,4.5183506,128.59534,5.520013
