SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
64.99875,1.0,65.0803,11.05284,17.678804,1069.4159,1.1787497,29.58039,1260.6125,0.91134304
65.49875,1.0,65.580925,11.051838,15.676299,1069.0599,1.1815532,29.518614,1263.1598,0.90974104
65.99875,1.0,66.08155,11.051082,14.163104,1068.7277,1.182742,29.387419,1264.0123,0.90907687
66.49875,1.0,66.582184,11.051582,15.164365,1068.5175,1.1756331,28.899506,1256.1564,0.9132321
66.99875,1.0,67.08281,11.051834,16.0,1068.326,1.1708263,28.411997,1250.7898,0.9160375
67.49875,1.0,67.583435,11.050834,16.0,1068.2295,1.1776348,27.92654,1257.9828,0.9120325
67.99875,1.0,68.08407,11.050252,16.33626,1068.13,1.1827031,27.534857,1263.3042,0.9090531
68.49875,1.0,68.584694,11.051754,18.338764,1068.0168,1.1791487,27.607847,1259.3513,0.9111557
68.99875,1.0,69.08532,11.052916,19.914682,1067.9587,1.1769764,27.595085,1256.9435,0.9124478
69.49875,1.0,69.585945,11.052414,19.414051,1068.1686,1.1815321,27.164894,1262.0569,0.90979445
69.99875,1.0,70.08658,11.053125,18.913422,1068.2722,1.1845901,26.87432,1265.4437,0.90801555
70.49875,1.0,70.587204,11.059633,18.412796,1067.8682,1.1804849,27.251442,1260.5731,0.91041857
70.99875,1.0,71.08783,11.068776,17.912169,,1.1780134,27.458347,1258.236,0.9118642
71.49875,1.0,71.588455,11.090303,17.411543,,1.1832199,26.865255,1267.8059,0.90881044
71.99875,1.0,72.08908,11.112632,17.178167,,1.1871704,26.35397,1276.1249,0.906496
72.49875,1.0,72.58971,11.138665,18.17942,,1.1853181,26.220602,1278.6646,0.90759736
72.99875,1.0,73.09034,11.178247,18.72899,,1.1835922,25.943851,1282.5006,0.90861744
73.49875,1.0,73.590965,11.279375,17.227112,,1.1824408,25.015892,1292.2242,0.90926826
73.99875,1.0,74.09159,11.362184,16.091589,,1.1824067,24.183008,1301.1921,0.9092688
74.49875,1.0,74.59222,11.363185,16.59222,,1.187363,23.774744,1306.7847,0.9063651
74.99875,1.0,75.09285,11.364465,17.1857,,1.1908801,23.393917,1310.7533,0.9043064
75.49875,1.0,75.593475,11.366968,18.186953,,1.1880765,23.133593,1307.5898,0.9059585
75.99875,1.0,76.0941,11.375775,18.717693,,,,,
76.49875,1.0,76.59473,11.41182,17.215815,,,,,
76.99875,1.0,77.09535,11.442049,16.0,,,,,
77.49875,1.0,77.595985,11.447556,16.0,,,,,
77.99875,1.0966156,70.541275,11.444754,15.903384,,,,,
78.49875,1.597242,31.892921,11.407207,15.402758,,,,,
78.99875,2.0,0.89786834,11.374162,14.706395,,1.1690956,23.889784,1287.0123,0.91695154
79.49875,2.0,1.3984947,11.359643,13.204515,,1.1818616,24.020647,1298.1448,0.90954226
79.99875,2.0,1.899121,11.348297,11.702637,,1.1928335,24.16846,1307.9738,0.9031837
80.49875,2.0,2.3997474,11.349799,10.200757,,1.1965381,24.384932,1312.523,0.901081
80.99875,2.0,2.900374,11.346985,9.501869,,1.1971412,24.69439,1313.119,0.90076506
81.49875,2.0,3.4010003,11.32696,12.005002,,1.1853765,25.37464,1297.9515,0.9075736
81.99875,2.0,3.9016275,11.289353,13.18698,,1.1773922,26.030876,1284.8298,0.912187
82.49875,2.0,4.402258,11.182719,9.181938,,1.184251,26.592834,1279.7399,0.9081819
82.99875,2.0,4.9028873,11.097486,6.72021,,1.1893914,27.049856,1275.4987,0.90518516
83.49875,2.0,5.403514,11.094982,10.224595,,1.1878895,27.101221,1274.5378,0.9060863
83.99875,2.0,5.90414,11.090918,12.79172,1072.9797,1.1858981,27.243082,1272.4879,0.9072582
84.49875,2.0,6.4047666,11.080905,11.790467,1071.2335,1.1820433,27.72949,1266.2913,0.90946096
84.99875,2.0,6.9053936,11.072578,11.421574,1069.6511,1.1801699,28.08886,1262.4092,0.91052544
85.49875,2.0,7.406024,11.070576,13.424095,1068.683,1.1857269,27.971811,1267.2078,0.90732145
85.99875,2.0,7.9066534,11.068467,15.31996,1067.9246,1.1894814,27.898151,1270.3254,0.90516263
86.49875,2.0,8.40728,11.065964,16.821838,1067.941,1.1865777,27.984758,1267.234,0.90686476
86.99875,2.0,8.907907,11.064648,17.568377,1068.1278,1.1850877,28.099585,1265.8481,0.9077468
87.49875,2.0,9.408532,11.067651,15.56587,1068.9343,1.1887423,28.317106,1270.6697,0.9056442
87.99875,2.0,9.909159,11.0704365,14.218317,1069.4944,1.1903665,28.584995,1273.0388,0.9047095
88.49875,2.0,10.409785,11.072439,15.21957,1069.171,1.1847094,29.033506,1266.6128,0.9079636
88.99875,2.0,10.910412,11.074773,16.0,1068.8796,1.1807969,29.436419,1262.0988,0.91021293
89.49875,2.0,11.411038,11.078278,16.0,1068.7014,1.1830497,29.67817,1264.342,0.9089113
89.99875,2.0,11.911665,11.081,15.665005,1068.5055,1.1834489,29.973757,1264.5696,0.90868163
90.49875,2.0,12.412295,11.081,14.163114,1068.2477,1.1773913,30.456863,1257.7755,0.9121861
90.99875,2.0,12.912925,11.081791,12.435376,1068.1241,1.1744052,30.999708,1254.4211,0.91391754
91.49875,2.0,13.413551,11.085295,9.932244,1068.4622,1.1819646,31.747646,1262.8756,0.9095621
91.99875,2.0,13.914178,11.089256,8.570888,1068.609,1.1875489,32.5426,1269.0009,0.906337
92.49875,2.0,14.414804,11.094763,11.074019,1068.1094,1.1864475,33.496693,1267.2422,0.9069378
92.99875,2.0,14.915431,11.098654,13.115431,1068.1677,1.1866851,34.42492,1267.5725,0.90677667
93.49875,2.0,15.416061,11.097152,13.616061,1070.0876,1.191391,35.26683,1274.8737,0.9040733
93.99875,2.0,15.916691,11.096817,14.0,1071.3375,1.1953734,36.340485,1280.6171,0.9017783
94.49875,2.0,16.417316,11.100321,14.0,1070.3828,1.1969755,38.176632,1281.2347,0.9008271
94.99875,2.0,16.917942,11.104415,13.292339,1069.7285,1.1988487,40.1426,1282.4857,0.8997226
95.49875,2.0,17.41857,11.110422,10.288581,1070.0494,1.2016021,42.52979,1285.7908,0.8981206
95.99875,2.0,17.919195,11.115238,8.595982,1070.6248,1.206644,44.979397,1291.8628,0.8951955
96.49875,2.0,18.419823,11.11624,11.099113,1072.0139,1.2190096,47.628765,1306.7891,0.88803655
96.99875,2.0,18.920448,11.116638,13.0,,1.2320616,50.449684,1322.0874,0.8804801
97.49875,2.0,19.421074,11.115137,13.0,,1.2472807,53.81209,1338.5605,0.87166905
97.99875,2.0,19.921701,11.115826,13.608514,,1.2635465,57.122967,1356.6029,0.86223733
98.49875,2.0,20.422333,11.123335,16.111666,,1.2830709,60.27338,1379.5312,0.85087305
