SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
720,6,72.8,11.107,28,1075.738,0.9545,71.2506,1026.824,1.0415
721,6,73.8,11.11,28,1077.595,0.9595,72.4155,1033.998,1.0385
722,6,74.8,11.106,27,1076.163,0.9485,74.1385,1020.753,1.0449
723,6,75.8,11.107,27,1075.218,0.9474,76.6235,1018.699,1.0456
724,6,76.8,11.107,28,1076.26,0.954,80.1046,1026.709,1.0418
725,6,77.8,11.106,27,1076.163,0.9526,84.2492,1025.18,1.0426
726,6,78.8,11.106,29,1076.163,0.9555,86.3984,1028.24,1.0409
727,6,79.8,11.103,28,1075.872,0.9508,90.112,1022.889,1.0436
728,6,80.8,11.102,28,1075.254,0.9501,93.4155,1021.631,1.044
729,6,81.8,11.102,27,1075.254,0.9457,97.8944,1016.91,1.0466
730,6,82.8,11.094,28,1075,0.9517,99.9013,1023.041,1.0431
731,6,83.8,11.091,29,1074.709,0.96,103.9012,1031.768,1.0383
732,6,84.8,11.087,29,1073.282,0.9548,106.9893,1024.799,1.0413
733,6,85.8,11.079,29,1072.507,0.9595,108.2902,1029.082,1.0386
734,6,86.8,11.074,29,1072.542,0.954,109.0609,1023.156,1.0418
735,6,87.8,11.073,20,1071.408,0.9556,105.6736,1023.845,1.0408
736,6,88.8,11.069,20,1071.021,1.2023,80.8708,1287.65,0.8978
737,6,89.8,11.067,23,1070.309,1.314,73.4452,1406.372,0.833
738,6,90.8,11.064,18,1068.469,1.3189,72.0556,1409.219,0.8301
739,6,91.8,11.062,19,1068.792,1.3243,72.3837,1415.392,0.827
740,6,92.8,11.068,20,1069.889,1.3133,74.0513,1405.106,0.8333
741,6,93.8,11.068,19,1069.889,1.3308,74.821,1423.762,0.8232
742,6,94.8,11.07,17,1068.533,1.3202,76.5484,1410.692,0.8293
743,6,95.8,11.072,20,1068.21,1.3032,77.5073,1392.103,0.8392
744,6,96.8,11.073,19,1069.855,1.2984,78.9625,1389.09,0.842
745,6,97.8,11.073,19,1070.372,1.3078,79.5725,1399.845,0.8365
746,6,98.8,11.077,20,1070.759,1.3093,79.9862,1401.986,0.8357
747,6,99.8,11.076,21,1070.662,1.3248,81.3973,1418.437,0.8267
748,6,100.8,11.077,22,1070.241,1.3236,83.197,1416.571,0.8274
749,6,101.8,11.076,22,1070.145,1.3322,86.7287,1425.644,0.8224
750,6,102.8,11.073,22,1068.822,1.3195,91.7208,1410.301,0.8298
751,6,103.8,11.076,20,1068.596,1.3053,99.1393,1394.815,0.838
752,6,104.8,11.073,21,1069.339,1.325,105.8841,1416.87,0.8266
753,6,105.8,11.074,23,1069.952,1.399,107.9681,1496.883,0.7836
754,6,106.8,11.073,21,1069.855,1.4751,109.7454,1578.093,0.7395
755,6,107.8,11.074,18,1073.582,1.4476,117.1185,1554.159,0.7554
756,6,108.8,11.072,23,1072.868,1.6224,108.3592,1740.61,0.6541
757,6,109.8,11.071,23,1072.252,1.4547,122.4757,1559.756,0.7514
758,6,110.8,11.07,23,1070.6,1.4169,126.3193,1516.892,0.7733
759,6,111.8,11.066,32,1069.696,1.4205,129.9296,1519.518,0.7712
760,6,112.8,11.064,20,1071.055,1.5225,126.8696,1630.698,0.712
761,6,113.8,11.064,20,1072.093,1.7189,119.5699,1842.771,0.5981
762,6,114.8,11.064,11,1070.537,1.781,120.6034,1906.629,0.5621
763,6,115.8,11.063,25,1071.996,1.7601,127.7717,1886.871,0.5742
764,6,116.8,11.062,14,1072.419,1.7653,130.9361,1893.123,0.5712
765,6,117.8,11.061,14,1071.802,1.7567,135.1276,1882.882,0.5761
766,6,118.8,11.061,16,1070.765,1.7627,136.4255,1887.441,0.5727
767,6,119.8,11.058,15,1071.512,1.729,140.983,1852.637,0.5922
768,6,120.8,11.059,15,1071.09,1.7536,141.1751,1878.259,0.578
769,6,121.8,11.058,12,1070.993,1.7669,142.3365,1892.358,0.5702
770,6,122.8,11.055,13,1070.184,1.7878,143.8183,1913.23,0.5581
771,6,123.8,11.054,15,1071.643,1.7421,151.6298,1866.882,0.5846
772,6,124.8,11.056,13,1070.281,1.7371,155.5507,1859.192,0.5875
773,6,125.8,11.055,16,1070.184,1.8348,146.8814,1963.612,0.5308
774,6,126.8,11.053,18,1069.473,1.8159,143.7925,1942.102,0.5418
775,6,127.8,11.054,16,1070.087,1.8222,134.7564,1949.96,0.5381
776,6,128.8,11.054,20,1070.087,1.6465,138.7933,1761.851,0.6401
777,6,129.8,11.055,21,1072.26,1.465,145.3675,1570.906,0.7453
778,6,130.8,11.054,26,1071.124,1.3942,145.0147,1493.361,0.7864
779,6,131.8,11.053,16,1072.066,1.5606,126.1126,1673.035,0.6899
780,6,132.8,11.057,21,1068.309,1.4152,136.7365,1511.867,0.7742
781,6,133.8,11.053,24,1068.955,1.3691,139.2246,1463.482,0.801
782,6,134.8,11.056,26,1067.182,1.4173,134.9315,1512.499,0.773
783,6,135.8,11.053,28,1069.99,1.4975,130.3914,1602.285,0.7265
784,6,136.8,11.052,25,1070.93,1.5803,127.5111,1692.415,0.6785
785,6,137.8,11.051,21,1070.315,1.699,123.1943,1818.514,0.6096
786,6,138.8,11.049,21,1070.64,1.7217,123.8907,1843.288,0.5965
787,6,139.8,11.048,16,1072.101,1.7043,125.6424,1827.158,0.6066
788,6,140.8,11.046,22,1070.868,1.6837,125.8599,1803.029,0.6185
789,6,141.8,11.045,21,1070.252,1.6668,125.3088,1783.858,0.6283
790,6,142.8,11.043,25,1069.022,1.6813,122.9004,1797.391,0.6199
791,6,143.8,11.041,25,1068.829,1.7075,119.2583,1825.038,0.6047
792,6,144.8,11.046,23,1068.795,1.6678,120.0806,1782.513,0.6277
793,6,145.8,11.176,23,1082.946,1.6344,114.849,1769.966,0.6471
794,6,146.8,11.333,25,1098.691,1.5961,107.6173,1753.624,0.6693
795,6,147.8,11.374,21,1100,1.6469,95.865,1811.557,0.6399
796,6,148.8,11.337,26,1099.612,1.6753,84.3498,1842.228,0.6234
797,6,149.8,11.37,23,1100.678,1.6461,70.3764,1811.787,0.6403
798,6,150.8,11.424,21,1104.302,,,,1.6117
